Gaze point at (425.918125885191, 381.998187587374) @619604512.842894
Gaze point at (344.670131699642, 392.934866456467) @619606522.178177

Gaze point at (358.217646471812, 390.981940310196) @619606533.700555

Gaze point at (360.071946796949, 390.554832122217) @619606544.852975

Gaze point at (360.272237962916, 390.775537426542) @619606555.551461

Gaze point at (361.740102604619, 391.079413634111) @619606566.943211

Gaze point at (362.029407946529, 391.795780148701) @619606578.326563

Gaze point at (361.26130036713, 392.090779843683) @619606588.718071

Gaze point at (361.00943718213, 392.331138551238) @619606600.38974

Gaze point at (351.338378370613, 393.897779462082) @619606611.615405

Gaze point at (317.8191739124, 395.882003021678) @619606621.971457

Gaze point at (310.309254059718, 396.168670032743) @619606633.68558

Gaze point at (306.590646409133, 396.205609016243) @619606644.923841

Gaze point at (304.843700229963, 396.231956591539) @619606655.40539

Gaze point at (301.10742179622, 396.061644450492) @619606666.827931

Gaze point at (290.840133824312, 395.704447082431) @619606678.203819

Gaze point at (288.158771493253, 395.621904572286) @619606688.716158

Gaze point at (280.353337149343, 395.394163472001) @619606700.20588

Gaze point at (267.843436644665, 395.68225747399) @619606711.60976

Gaze point at (261.057816877249, 395.777292312519) @619606721.900497

Gaze point at (253.362085691506, 396.430922828131) @619606733.520381

Gaze point at (249.437927299566, 396.750207360462) @619606745.062821

Gaze point at (246.649367577227, 396.92403838153) @619606755.292909

Gaze point at (242.543954587299, 396.586663362319) @619606766.832549

Gaze point at (233.413104749735, 395.943228770775) @619606778.027424

Gaze point at (232.821690296704, 395.485709686832) @619606788.589682

Gaze point at (233.261926282927, 395.058116878282) @619606800.304271

Gaze point at (233.724115384884, 395.611656710468) @619606811.487949

Gaze point at (233.639150529696, 395.444949795649) @619606821.965765

Gaze point at (233.336139346466, 395.154628899659) @619606833.582383

Gaze point at (232.612740622015, 394.333476987993) @619606844.818312

Gaze point at (232.13199908279, 393.473378150544) @619606855.230814

Gaze point at (231.934289033696, 393.691528315152) @619606866.781184

Gaze point at (230.523238681704, 394.377283166063) @619606878.088493

Gaze point at (230.068039783336, 394.575925515288) @619606888.682475

Gaze point at (230.11087564496, 394.558386104235) @619606900.080757

Gaze point at (230.79302266443, 394.930186320919) @619606911.355874

Gaze point at (231.857499538268, 395.973663980513) @619606921.952656

Gaze point at (231.982299041843, 396.380657142739) @619606933.460105

Gaze point at (232.081111436188, 399.821324381443) @619606944.656846

Gaze point at (232.173970561, 398.475414957882) @619606955.050686

Gaze point at (233.458481139627, 398.228583940569) @619606966.541341

Gaze point at (260.768446963252, 396.675204793313) @619606978.328243

Gaze point at (389.307782987279, 383.666829029738) @619606988.526607

Gaze point at (746.431395158717, 322.392073318975) @619606999.211096

Gaze point at (909.974903759687, 311.055396275771) @619607010.746538

Gaze point at (956.456525349322, 314.700018252742) @619607020.396262

Gaze point at (823.304351108187, 328.802104286925) @619607032.814847

Gaze point at (871.085642099695, 328.823513082355) @619607044.342824

Gaze point at (896.091541597703, 328.910239022424) @619607054.658754

Gaze point at (1050.06725117262, 308.884520074073) @619607066.196061

Gaze point at (1096.94346518852, 308.557920858459) @619607077.915783

Gaze point at (1142.26827176885, 309.481674519402) @619607088.454715

Gaze point at (1233.55204501543, 308.361672450686) @619607099.864193

Gaze point at (1311.17712202701, 306.263610398941) @619607111.075396

Gaze point at (1326.86529535507, 293.322009908401) @619607121.74169

Gaze point at (1321.04050642824, 290.456524468624) @619607132.808268

Gaze point at (1312.6505094591, 282.27380333126) @619607144.323183

Gaze point at (1305.09827750146, 273.698642792613) @619607154.982479

Gaze point at (1306.60424843567, 265.831162725103) @619607166.326643

Gaze point at (1315.13685177221, 249.801663375532) @619607177.71886

Gaze point at (1317.68433022861, 245.50299565378) @619607188.363228

Gaze point at (1316.69457086217, 244.752436866253) @619607199.859947

Gaze point at (1315.60553446381, 246.206271533759) @619607211.292752

Gaze point at (1314.37627449919, 246.942957397339) @619607221.799493

Gaze point at (1303.80291447939, 247.651920815019) @619607233.06668

Gaze point at (1295.5925286714, 249.056417323396) @619607244.411777

Gaze point at (1245.37227315671, 256.408752714562) @619607254.428661

Gaze point at (1177.45513816791, 262.535032342053) @619607266.555663

Gaze point at (1044.24167575982, 266.131589604897) @619607277.974472

Gaze point at (518.533980350881, 303.810564916737) @619607288.353851

Gaze point at (446.80472317472, 311.177403454395) @619607299.846371

Gaze point at (428.970547683659, 313.969518707486) @619607311.211529

Gaze point at (422.825442108956, 316.669517651447) @619607321.633828

Gaze point at (325.509820657698, 328.59741207625) @619607333.065234

Gaze point at (269.338456652002, 345.234834102187) @619607344.399134

Gaze point at (244.871827963031, 353.978144128493) @619607354.783178

Gaze point at (239.950191731881, 359.074829092071) @619607366.584075

Gaze point at (236.646465650288, 363.897225028138) @619607377.780815

Gaze point at (237.748756169187, 365.242757741376) @619607388.07995

Gaze point at (238.410615619511, 365.14590866423) @619607399.64665

Gaze point at (238.812614097185, 365.54418409414) @619607411.053795

Gaze point at (238.481999132764, 365.503667957829) @619607421.513883

Gaze point at (238.575804082744, 365.659895312892) @619607433.133767

Gaze point at (238.545717965442, 366.024199079227) @619607444.577769

Gaze point at (238.761868553094, 366.965657418819) @619607454.803658

Gaze point at (238.518485704887, 368.954176312645) @619607466.362893

Gaze point at (238.554805010816, 370.564386734885) @619607477.542372

Gaze point at (238.866306073056, 371.340528750646) @619607487.985664

Gaze point at (239.92764360094, 372.502076656103) @619607499.816887

Gaze point at (240.156591589992, 372.562831229041) @619607510.949712

Gaze point at (241.180274859709, 372.579990384015) @619607521.355683

Gaze point at (242.882673004596, 372.91352090039) @619607533.010556

Gaze point at (243.306458533159, 373.582835245166) @619607544.448959

Gaze point at (242.992124304556, 373.68767642153) @619607554.593673

Gaze point at (243.93473840001, 373.997553681975) @619607566.381508

Gaze point at (244.823870028647, 374.417341884024) @619607577.679018

Gaze point at (244.908187019392, 374.657163062629) @619607588.03507

Gaze point at (245.176772993314, 375.152501675931) @619607599.498199

Gaze point at (243.604775236033, 376.61524681207) @619607610.979057

Gaze point at (242.2149697282, 377.505334800454) @619607621.112107

Gaze point at (240.776050683705, 378.461193301459) @619607632.97412

Gaze point at (239.535489201866, 379.280447862234) @619607644.320617

Gaze point at (238.563228143825, 380.091432683307) @619607654.435472

Gaze point at (237.538719254751, 381.179119603197) @619607666.289088

Gaze point at (236.347256431572, 381.998372797743) @619607677.563739

Gaze point at (236.839535060599, 382.933742982667) @619607687.86334

Gaze point at (236.200567375795, 382.986859342646) @619607699.340465

Gaze point at (236.192537140928, 383.067857322123) @619607710.867509

Gaze point at (237.649625913863, 383.172535440464) @619607721.112993

Gaze point at (237.895067397334, 383.387784319791) @619607732.833181

Gaze point at (238.782343504497, 383.409606832514) @619607744.256655

Gaze point at (239.257776325793, 383.175588850871) @619607754.401369

Gaze point at (240.06879313927, 382.781727536186) @619607766.147216

Gaze point at (240.115606485406, 382.132424986264) @619607777.61501

Gaze point at (240.177163317794, 382.147643890694) @619607787.782117

Gaze point at (240.319049568056, 381.803636136199) @619607799.333421

Gaze point at (240.530049483541, 381.447382317633) @619607810.858599

Gaze point at (241.668529967694, 380.57198489293) @619607821.243109

Gaze point at (242.313022977047, 380.5291751529) @619607832.716502

Gaze point at (242.461456781166, 380.70061074919) @619607843.930037

Gaze point at (242.329347064717, 380.775771786306) @619607854.302417

Gaze point at (242.33096259419, 380.834019057111) @619607865.928366

Gaze point at (242.475692105182, 381.033724058341) @619607877.243139

Gaze point at (242.730729500139, 380.90721921859) @619607887.711624

Gaze point at (243.740848997143, 379.637622599797) @619607899.2452

Gaze point at (244.040938893156, 379.089814417274) @619607910.56837

Gaze point at (243.462341422346, 379.011802712176) @619607921.04292

Gaze point at (242.813661758013, 378.791651164929) @619607932.674934

Gaze point at (242.48467571916, 378.227541108222) @619607943.988773

Gaze point at (242.326113058169, 377.226973607831) @619607954.251052

Gaze point at (242.176597149592, 376.792219405634) @619607966.012761

Gaze point at (242.019754558952, 376.535663428947) @619607977.333132

Gaze point at (241.43317728524, 376.088929340138) @619607987.577217

Gaze point at (241.057414613334, 375.405501939282) @619607999.188236

Gaze point at (244.331996810951, 372.313586050125) @619608010.581853

Gaze point at (243.73896445468, 372.910068876557) @619608021.010683

Gaze point at (246.110940511654, 368.603107392262) @619608032.503204

Gaze point at (281.489390158342, 309.942525620034) @619608044.07037

Gaze point at (396.841570227807, 126.282542048549) @619608054.17776

Gaze point at (402.245858891492, 117.781673816104) @619608065.882086

Gaze point at (405.043350779457, 113.658358165367) @619608077.529029

Gaze point at (408.263757417087, 108.647659667464) @619608087.604229

Gaze point at (415.086413565572, 98.2019061483406) @619608099.189123

Gaze point at (415.913913602755, 96.4237178573302) @619608110.583672

Gaze point at (416.517390531005, 95.085016038696) @619608121.033963

Gaze point at (417.049741750806, 93.5549964760174) @619608132.481697

Gaze point at (419.58312928781, 90.7375302731351) @619608143.96582

Gaze point at (418.451747509154, 93.7514386323505) @619608154.083941

Gaze point at (418.882090772929, 93.1770396563703) @619608165.819991

Gaze point at (419.802815472477, 91.1648775166562) @619608177.099307

Gaze point at (421.074292906337, 89.6802414976544) @619608187.554263

Gaze point at (421.150980218924, 89.3541421915506) @619608199.1079

Gaze point at (421.170749337915, 89.4733719793249) @619608210.39608

Gaze point at (421.441163145146, 88.9552278565849) @619608220.858967

Gaze point at (421.701226398029, 87.7610130399669) @619608232.496113

Gaze point at (421.549963458837, 86.0074238413293) @619608243.856139

Gaze point at (421.492275234639, 86.5784309889189) @619608254.082495

Gaze point at (423.133863478032, 86.3239748586979) @619608265.681385

Gaze point at (467.949750394903, 81.2244108065152) @619608277.085265

Gaze point at (679.534926164777, 66.0246428301539) @619608287.290627

Gaze point at (682.204178697174, 65.6915194812375) @619608299.073796

Gaze point at (684.104011840929, 65.5065784151401) @619608310.468346

Gaze point at (687.511386896247, 64.9693071926101) @619608320.889712

Gaze point at (690.841480408516, 64.4750197722751) @619608332.308521

Gaze point at (689.955002975206, 64.2368657079273) @619608343.603699

Gaze point at (688.278272083345, 64.0389530545542) @619608354.195349

Gaze point at (687.850384539678, 64.9609517879648) @619608365.711196

Gaze point at (688.148040396346, 64.5613524966306) @619608377.070755

Gaze point at (687.85177503237, 65.1282182867664) @619608387.344698

