Gaze point at (382.43295847937, 119.62244702248) @619695535.473839
Gaze point at (286.83125882122, 247.906409591265) @619697267.682802

Gaze point at (257.849521805242, 248.324958412834) @619697277.985669

Gaze point at (257.411521543653, 246.214382120351) @619697289.430137

Gaze point at (247.349132088203, 252.952816365879) @619697300.91706

Gaze point at (246.576617587147, 257.156248852257) @619697311.40374

Gaze point at (249.699115225296, 260.294238801082) @619697322.732975

Gaze point at (247.94642532971, 259.263900307741) @619697334.237626

Gaze point at (248.036981044362, 260.793111698339) @619697344.742967

Gaze point at (248.742666299233, 260.44633943024) @619697355.945772

Gaze point at (249.157557382156, 260.40849645387) @619697367.405636

Gaze point at (250.107841158921, 259.076389395652) @619697378.207691

Gaze point at (250.314644498472, 258.95880943164) @619697389.218752

Gaze point at (250.318978388444, 258.96223527786) @619697400.729001

Gaze point at (249.935595032964, 261.640384073152) @619697411.32345

Gaze point at (250.067965410812, 261.392417434444) @619697422.827168

Gaze point at (249.293536771992, 262.675237279142) @619697434.049567

Gaze point at (249.04032851757, 262.906023628807) @619697444.545578

Gaze point at (248.782687525814, 263.107356087298) @619697456.01244

Gaze point at (249.000767789511, 263.471868445323) @619697467.351472

Gaze point at (248.958407306319, 264.775261469517) @619697477.919328

Gaze point at (249.54670566955, 264.999754275285) @619697489.243898

Gaze point at (249.607421865633, 265.10201103576) @619697500.651044

Gaze point at (248.872983940339, 265.4604947451) @619697511.329935

Gaze point at (248.026787168719, 265.013211380157) @619697522.655438

Gaze point at (247.1200356864, 264.592542136998) @619697534.120433

Gaze point at (246.796952579531, 266.100300291891) @619697544.558594

Gaze point at (241.84326418669, 265.461657782445) @619697555.852373

Gaze point at (235.956997241551, 264.2711458374) @619697567.210999

Gaze point at (232.746992619031, 263.33369256749) @619697577.988328

Gaze point at (227.727975962987, 262.118749309265) @619697589.103892

Gaze point at (223.441728822263, 260.893739271139) @619697600.696251

Gaze point at (219.644547755885, 259.805296355465) @619697611.311693

Gaze point at (214.25113954114, 258.103953794536) @619697622.371274

Gaze point at (196.946994303303, 253.141705710273) @619697634.000488

Gaze point at (193.591294637494, 254.106411414202) @619697644.642523

Gaze point at (193.722488372944, 254.530446183495) @619697655.756687

Gaze point at (195.041267545092, 254.17500969539) @619697667.119979

Gaze point at (189.210517054202, 258.184752573133) @619697678.047065

Gaze point at (187.469906454559, 258.877322581011) @619697689.224677

Gaze point at (187.712019360713, 257.99777885084) @619697700.050992

Gaze point at (186.660722924636, 257.617773564529) @619697710.997205

Gaze point at (191.144547032411, 258.898094874747) @619697722.376359

Gaze point at (200.926715219871, 261.020312900984) @619697733.583829

Gaze point at (210.925367289319, 259.458829831165) @619697744.441402

Gaze point at (316.774772092713, 255.076612621443) @619697755.166479

Gaze point at (473.495509869084, 249.628068292505) @619697767.050419

Gaze point at (585.800741090238, 249.636969173499) @619697777.859939

Gaze point at (858.069327046032, 270.996193413095) @619697788.353617

Gaze point at (887.938026086575, 275.12487190332) @619697800.425569

Gaze point at (909.51138513161, 277.914176162232) @619697811.179572

Gaze point at (945.277148826188, 284.261711680231) @619697822.470551

Gaze point at (1093.20521497974, 297.424261950254) @619697833.733539

Gaze point at (1148.30252337805, 309.748906735423) @619697844.499205

Gaze point at (1178.09939381518, 317.46534616037) @619697855.707142

Gaze point at (1197.34618698125, 321.868499778542) @619697867.06017

Gaze point at (1200.43951815077, 319.859451751128) @619697877.707337

Gaze point at (1199.49121902519, 310.831870978263) @619697889.039838

Gaze point at (1199.51981269974, 305.737368175513) @619697900.454914

Gaze point at (1198.96655671038, 303.203417008772) @619697911.028369

Gaze point at (1198.35216708989, 300.996899765005) @619697922.421519

Gaze point at (1197.79440528694, 298.646987846815) @619697933.708766

Gaze point at (1197.83633193814, 295.102881579911) @619697944.488428

Gaze point at (1197.62540458804, 293.327406771493) @619697955.617055

Gaze point at (1197.76114028962, 294.927504578922) @619697966.9099

Gaze point at (1197.46211296473, 293.774931017809) @619697977.582726

Gaze point at (1197.17681198466, 294.352379080462) @619697988.798594

Gaze point at (1197.34261205335, 294.325994812316) @619698000.217403

Gaze point at (1198.5637685226, 295.809399565939) @619698010.986801

Gaze point at (1198.22333185511, 294.240745304515) @619698022.197071

Gaze point at (1187.32930125643, 296.472302348091) @619698033.564562

Gaze point at (1187.40233890913, 296.486566957149) @619698044.376414

Gaze point at (1176.36018507433, 290.734025638931) @619698055.615608

Gaze point at (1031.18334988635, 232.899291850418) @619698066.996162

Gaze point at (603.131556398539, 83.2366729940825) @619698077.791686

Gaze point at (587.672788438257, 77.7383980364117) @619698088.990292

Gaze point at (577.539616896063, 74.0131188332178) @619698100.104456

Gaze point at (567.091036880134, 69.3083226980012) @619698110.350407

Gaze point at (549.504834344292, 62.6797939907026) @619698122.078059

Gaze point at (544.903912478903, 59.1540585150927) @619698133.549119

Gaze point at (537.789920157966, 54.1671316189659) @619698143.702697

Gaze point at (534.456154577062, 54.3295963829641) @619698155.375765

Gaze point at (531.576342828169, 57.5115705928063) @619698166.767049

Gaze point at (534.152179428435, 56.0930270152035) @619698177.152492

Gaze point at (532.17992777707, 58.2119950689071) @619698188.816229

Gaze point at (531.006053552693, 59.1137842171727) @619698200.234105

Gaze point at (527.705052652991, 58.976755074278) @619698210.653139

Gaze point at (527.738577957097, 59.6640260707547) @619698222.031359

Gaze point at (527.275657370514, 57.5431102239245) @619698233.558403

Gaze point at (526.585588944804, 57.7073013586895) @619698244.020358

Gaze point at (526.367892997049, 59.3661247141014) @619698255.344927

