STARTING DATA RECORDING
Gaze point at (962.633731628841, 18.5873651769263) @376302.528943066
Gaze point at (962.762363845709, 312.593520692962) @376302.695447692
Gaze point at (959.483714354297, 725.013507639277) @376302.861489519
Gaze point at (956.291973608096, 773.636288539499) @376303.028391161
Gaze point at (955.444085917051, 773.014664939079) @376303.195050674
Gaze point at (958.219913909201, 769.834946113858) @376303.361138688
Gaze point at (908.56431712529, 760.826979459892) @376303.528724264
Gaze point at (904.247268045384, 755.331131421202) @376303.694417593
Gaze point at (105.228334297646, 765.867873427273) @376303.861127491
Gaze point at (-23.8891667209722, 794.29888858226) @376304.027375992
Gaze point at (937.334648531255, 788.013669563437) @376304.294151951
Gaze point at (909.530688560184, 753.261142985915) @376304.46066404
Gaze point at (903.459773548888, 766.898010284636) @376304.627344081
Gaze point at (891.344662954565, 772.411920326047) @376304.793849639
Gaze point at (867.427651701293, 777.443641912375) @376304.960637915
Gaze point at (861.855053553593, 779.527778384956) @376305.126886415
Gaze point at (846.518489779922, 789.50763870255) @376305.293271142
Gaze point at (852.901487533646, 782.957955758333) @376305.460008099
Gaze point at (378.553243968713, 487.230834021246) @376305.626584103
Gaze point at (439.841410231532, 542.753479597856) @376305.793235219
Gaze point at (892.085038534999, 134.554592140004) @376305.959475788
Gaze point at (938.747264244176, 14.3550408044314) @376306.126356436
Gaze point at (914.811405625101, 13.5874474738436) @376306.292813009
Gaze point at (918.38784425297, 12.5653567791726) @376306.45929944
Gaze point at (565.166304490861, 500.624966467302) @376306.625890839
Gaze point at (506.317265008064, 591.751135960642) @376306.792617066
Gaze point at (467.121588197956, 566.56317389195) @376306.958849238
Gaze point at (593.397754715342, 551.591370724139) @376307.125737351
Gaze point at (1161.99232337534, 203.728474497307) @376307.292527959
Gaze point at (1244.43445247548, 40.5205154584247) @376307.458956073
Gaze point at (1330.7850140522, -0.0337006173222676) @376307.625677169
Gaze point at (1333.49648575499, -14.1954619197479) @376307.791562708
Gaze point at (466.510214479276, 582.250555228971) @376307.958390172
Gaze point at (489.115952436122, 567.464096828595) @376308.124998834
Gaze point at (388.112441420461, 434.333239187248) @376308.291501593
Gaze point at (392.405347702101, 436.206120234902) @376308.457831269
Gaze point at (881.624901683109, 80.7859493098196) @376308.624863073
Gaze point at (921.546957140812, 73.0625186573394) @376308.790599323
Gaze point at (1105.97507972926, 72.4021867477188) @376308.958147577
Gaze point at (1135.1197171312, 94.0140419079555) @376309.124242588
Gaze point at (1126.08282084733, 96.5047164443556) @376309.290991675
STARTING DATA RECORDING
Gaze point at (548.481120219452, 330.692342167562) @376325.395882591
Gaze point at (616.169301237714, 410.284003464278) @376325.562579893
Gaze point at (478.950265025901, 148.00462833419) @376325.728384257
Gaze point at (483.270907181803, 141.361179989105) @376325.895878859
Gaze point at (569.956993635147, 398.051434654049) @376326.062126892
Gaze point at (703.561161240195, 84.0577153720282) @376326.22876168
Gaze point at (744.510355732274, 5.52011091421048) @376326.395314824
Gaze point at (745.503213160264, 13.773085268259) @376326.56203452
Gaze point at (746.23255034626, 10.9274568980758) @376326.728410382
Gaze point at (835.416664966299, 625.295576426747) @376326.894869754
Gaze point at (832.74113879201, 603.540268229575) @376327.061441093
Gaze point at (751.995156019642, 254.9997311605) @376327.22781369
Gaze point at (725.88543123556, 53.5455446547499) @376327.394699004
Gaze point at (759.037751809817, 7.99515279870994) @376327.561113589
Gaze point at (761.837311309493, 7.44476819970146) @376327.727565496
Gaze point at (763.585662889855, 2.98208781262531) @376327.89406499
Gaze point at (762.421162978599, 9.69254879753771) @376328.060898518
Gaze point at (762.012017103873, 11.2112134911612) @376328.227373752
Gaze point at (736.656412868921, 537.032828845354) @376328.394081785
Gaze point at (740.183853917723, 513.062600808505) @376328.55990061
Gaze point at (776.330451252859, 552.36935445104) @376328.726529333
Gaze point at (799.128475479842, 560.105187048729) @376328.893036757
Gaze point at (795.348192009056, 716.167899252134) @376329.05967481
Gaze point at (794.955908983871, 766.880506165022) @376329.226147711
Gaze point at (798.249084987115, 754.536186011887) @376329.393242497
Gaze point at (1294.02553925513, -31.8227807210292) @376329.559510125
